R,G,B,W
537,672,864,2233
526,660,846,2188
520,654,836,2165
516,650,828,2146
512,645,820,2130
506,639,810,2107
503,635,803,2093
498,630,796,2075
492,624,789,2056
491,623,787,2051
487,619,783,2040
485,617,780,2032
483,615,779,2027
481,613,776,2020
479,610,773,2011
473,604,767,1993
471,601,764,1985
469,599,762,1979
468,597,760,1974
467,596,761,1972
467,596,763,1973
467,596,764,1974
467,596,764,1972
467,596,764,1970
466,595,764,1966
464,593,762,1956
461,590,758,1946
458,586,754,1933
455,583,748,1917
450,580,739,1894
445,574,727,1867
438,566,713,1837
430,558,698,1806
423,550,683,1775
416,542,668,1744
410,535,657,1721
407,532,649,1708
400,524,636,1680
395,518,626,1658
391,513,619,1642
387,508,612,1625
383,505,607,1611
379,501,601,1596
374,494,592,1574
369,488,584,1554
365,483,576,1539
356,472,562,1506
352,467,556,1492
350,465,553,1485
348,461,549,1475
346,458,544,1465
343,456,540,1455
341,453,536,1445
338,450,532,1436
337,448,530,1429
335,446,527,1422
334,445,523,1414
332,443,518,1405
330,441,514,1398
329,440,510,1391
328,439,507,1386
328,439,505,1385
329,440,505,1386
331,442,506,1392
333,445,510,1403
336,449,514,1415
340,453,519,1429
343,457,524,1440
345,460,527,1447
347,462,529,1453
348,464,530,1458
349,465,533,1464
354,471,539,1480
355,472,543,1487
357,475,548,1498
363,482,560,1523
370,491,578,1561
380,503,597,1607
397,523,625,1672
409,536,642,1722
406,533,629,1706
393,519,598,1639
379,504,568,1578
379,506,569,1580
375,503,564,1563
373,500,552,1550
377,507,555,1564
434,574,650,1795
577,747,819,2309
1081,1331,1461,4182
1100,1351,1485,4259
1101,1349,1482,4262
1099,1347,1480,4259
1100,1347,1481,4265
1102,1350,1480,4266
1099,1348,1475,4253
1091,1339,1467,4224
1082,1330,1461,4199
1078,1325,1460,4186
1077,1323,1460,4186
1079,1327,1464,4196
1084,1332,1470,4211
1093,1339,1479,4238
1102,1346,1482,4267
1110,1358,1487,4294
1123,1374,1505,4332
1130,1381,1515,4353
1126,1377,1510,4342
1115,1364,1496,4303
1103,1352,1481,4261
1096,1343,1473,4234
1090,1339,1468,4217
1084,1331,1458,4191
1072,1318,1441,4137
1037,1280,1402,4001
974,1211,1335,3772
943,1174,1301,3679
973,1208,1337,3791
994,1235,1360,3844
984,1222,1344,3799
950,1181,1304,3683
907,1132,1260,3533
853,1073,1198,3338
792,1007,1123,3127
748,958,1065,2977
719,925,1029,2872
687,888,987,2757
656,856,952,2658
642,837,935,2615
637,832,934,2598
636,832,935,2601
641,838,948,2629
650,848,967,2671
659,859,982,2711
665,865,986,2728
664,865,978,2716
658,865,959,2676
690,908,976,2755
784,1022,1064,3070
913,1172,1206,3540
1002,1277,1300,3868
778,1003,1034,3058
1062,1341,1434,4174
1004,1278,1366,3960
979,1249,1336,3870
964,1225,1316,3824
968,1227,1318,3838
984,1249,1336,3882
993,1262,1352,3912
998,1265,1364,3937
997,1263,1368,3939
982,1245,1354,3888
960,1217,1334,3809
928,1179,1300,3686
875,1119,1235,3490
839,1077,1194,3365
826,1060,1177,3318
814,1045,1164,3279
777,1001,1113,3135
727,944,1048,2949
698,913,1012,2837
701,911,1019,2845
672,873,976,2735
612,807,886,2516
560,746,815,2314
622,827,902,2554
940,1206,1261,3696
1122,1445,1422,4323
1303,1683,1614,4955
1275,1650,1583,4855
1248,1618,1555,4758
1217,1582,1524,4648
1180,1539,1487,4519
1146,1494,1450,4397
1114,1451,1416,4298
1090,1416,1391,4218
1069,1392,1370,4147
1055,1370,1352,4099
1045,1358,1339,4057
1032,1344,1322,4000
1027,1324,1309,3994
1034,1331,1312,4005
1032,1344,1309,3977
1019,1330,1288,3918
1001,1305,1266,3856
982,1280,1245,3790
956,1243,1217,3702
924,1199,1182,3595
891,1160,1146,3480
860,1127,1116,3368
834,1096,1093,3280
817,1070,1084,3230
809,1055,1076,3214
813,1056,1072,3232
811,1056,1072,3228
805,1051,1078,3219
776,1018,1041,3106
726,963,958,2900
727,963,946,2893
783,1031,1018,3107
868,1127,1126,3423
846,1112,1115,3350
1427,1824,1656,5309
1728,2197,1943,6333
1706,2171,1918,6255
1687,2153,1898,6193
1701,2171,1906,6207
1753,2212,1947,6360
1784,2241,1972,6463
1795,2247,1975,6496
1770,2212,1938,6410
1723,2156,1891,6248
1641,2059,1804,5960
1535,1942,1687,5587
1258,1615,1368,4599
1261,1618,1357,4681
1575,1962,1668,5805
1665,2072,1784,6115
1575,1965,1704,5806
1409,1787,1534,5211
2048,2540,2145,7452
2022,2505,2122,7361
1994,2472,2099,7271
1967,2443,2079,7182
1945,2419,2063,7108
1930,2398,2049,7060
1915,2377,2036,7010
1896,2356,2019,6945
1877,2332,2002,6884
1855,2307,1983,6805
1830,2278,1960,6717
1801,2242,1932,6624
1774,2190,1893,6549
1755,2164,1872,6487
1732,2134,1846,6405
1712,2106,1821,6330
1695,2085,1800,6264
1688,2073,1785,6225
1685,2067,1772,6198
1682,2067,1767,6181
1682,2066,1769,6198
1672,2060,1769,6169
1662,2047,1759,6120
1632,2014,1730,5990
1607,1984,1699,5873
1607,1984,1690,5858
1648,2033,1721,6000
1729,2125,1790,6277
1771,2177,1829,6418
1739,2148,1804,6320
1502,1901,1593,5550
1833,2304,1829,6592
3018,3710,2785,10529
3017,3707,2783,10525
3018,3708,2784,10528
3020,3709,2785,10534
3020,3708,2784,10530
3021,3709,2785,10533
3020,3707,2785,10531
3019,3706,2784,10529
3018,3704,2784,10531
3017,3702,2783,10530
3015,3699,2782,10526
3015,3699,2781,10527
3013,3698,2780,10524
3011,3694,2775,10518
3010,3693,2774,10516
3011,3693,2774,10517
3001,3683,2766,10483
3000,3683,2769,10487
2999,3682,2768,10481
2995,3682,2767,10458
2993,3681,2766,10447
2993,3682,2767,10448
2993,3682,2766,10448
2993,3682,2766,10448
2993,3681,2766,10446
2994,3680,2765,10444
2994,3680,2765,10447
2992,3675,2762,10438
2991,3675,2762,10438
2991,3675,2762,10435
2989,3673,2761,10430
2990,3675,2761,10432
2990,3675,2761,10431
2989,3675,2761,10426
2988,3675,2761,10423
2988,3675,2761,10421
2987,3674,2760,10416
2985,3671,2758,10409
2985,3671,2758,10408
2984,3670,2757,10404
2982,3668,2755,10398
2982,3668,2755,10398
2972,3658,2744,10362
2981,3667,2753,10395
2981,3668,2753,10396
2980,3667,2752,10393
2979,3666,2751,10387
2974,3660,2746,10370
2949,3632,2723,10284
2805,3453,2586,9779
2964,3648,2736,10329
2966,3650,2738,10335
2966,3651,2739,10337
2967,3652,2739,10338
2967,3652,2739,10337
